Brand,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,OS,VRAM,Price_VND
Infinix,Intel Core i3 (10th Gen),Intel,0,8, LPDDR4X RAM,1.2,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,9897000
HP,AMD Dual-Core Ryzen 3,AMD,16,8, DDR4 RAM ,2.6,LED,15.6,Integrated Graphics,AMD,256,0,65.0,Windows 10,0,11367000
HP,AMD Dual-Core Ryzen 3,AMD,8,8, DDR4 RAM ,2.6,LCD,15.6,Integrated Graphics,AMD,256,0,65.0,Windows 11,0,8397000
Lenovo,Intel Core i3 (10th Gen),Intel,12,8, DDR4 RAM ,2.1,LED,15.6,Integrated Graphics,Intel,256,0,45.0,Windows 11,0,10407000
ASUS,Intel Core i5 (12th Gen),Intel,0,16, DDR4 RAM,4.2,LED,14.0,Integrated Graphics,Intel,512,0,90.0,Windows 11,0,18597000
Xiaomi,Intel Core i5 (11th Gen) Processor,Intel,0,16, DDR4 RAM,2.5,LED,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 10,0,19192800
Dell,Intel Core i3 (11th Gen),Intel,16,8, DDR4 RAM ,4.0,LCD,15.6,Integrated Graphics,Intel,256,1024,65.0,Windows 11,0,10349700
HP,AMD Hexa-Core Ryzen 5,AMD,0,16, DDR4 RAM,2.4,LCD,14.0,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,19978800
HP,Intel Core i3 (11th Gen),Intel,0,8, DDR4 RAM,3.4,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,11129700
HP,AMD Quad-Core Ryzen 5,AMD,0,8, DDR4 RAM,2.1,LED,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 10,0,12599700
AVITA,AMD Quad-Core Ryzen 5,AMD,0,8, DDR4 RAM,2.1,LED,14.0,Integrated Graphics,AMD,512,0,65.0,Windows 10,0,12747600
HP,AMD Hexa-Core Ryzen 5,AMD,16,8, DDR4 RAM ,4.2,LCD,14.0,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,16347000
Lenovo,Intel Core i3 (11th Gen),Intel,12,8, DDR4 RAM ,3.0,LCD,15.6,Integrated Graphics,Intel,256,0,65.0,Windows 11,0,9750000
ASUS,Intel Core i3 (11th Gen),Intel,0,4, DDR4 RAM,3.0,LED,15.6,Integrated Graphics,Intel,256,0,45.0,Windows 10,0,9270000
HP,Intel Core i5 (12th Gen),Intel,16,8, DDR4 RAM ,2.0,LCD,15.6,GeForce GTX 1650,NVIDIA,512,0,65.0,Windows 11,4,18299700
HP,Intel Core i3 (11th Gen) Processor,Intel,0,8, DDR4 RAM,2.5,LED,14.0,Integrated Graphics,Intel,256,0,41.0,Windows 10,0,11893800
ASUS,AMD Quad-Core Ryzen 3,AMD,16,8, LPDDR5 RAM ,4.0,LED,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,11397000
Lenovo,Intel Core i3 (6th Gen),Intel,0,4, DDR4 RAM,2.0,LED,14.0,Integrated Graphics,Intel,64,1024,65.0,Windows 10,0,12282000
ASUS,AMD Octa-Core Ryzen 7,AMD,16,16, DDR4 RAM ,4.2,LCD,15.6,Integrated Graphics,AMD,512,0,65.0,Windows 11,0,18569700
Lenovo,Intel Core i5 (12th Gen),Intel,16,8, DDR4 RAM ,3.3,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,14097000
ASUS,AMD Octa-Core Ryzen 7,AMD,0,16, DDR4 RAM,2.9,LED,17.3,GeForce RTX 3050,NVIDIA,512,0,180.0,Windows 10,4,20397000
HP,Intel Core i5 (11th Gen) Processor,Intel,16,8, DDR4 RAM ,2.5,LED,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 10,0,15089700
Lenovo,Intel Core i5 (12th Gen),Intel,16,16, DDR4 RAM ,3.3,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,17397000
ASUS,Intel Core i5 (10th Gen),Intel,32,8, DDR4 RAM ,4.7,LED,15.6,GeForce GTX 1650,NVIDIA,512,0,150.0,Windows 11,4,16797000
Infinix,Intel Core i5 (10th Gen),Intel,0,8, LPDDR4X RAM,1.0,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,14399700
Lenovo,Intel Core i3 (11th Gen),Intel,0,8, DDR4 RAM,4.2,LCD,14.0,Integrated Graphics,Intel,256,0,65.0,Windows 11,0,11067000
HP,Intel Core i3 (11th Gen),Intel,0,8, DDR4 RAM,4.0,LED,14.0,Integrated Graphics,Intel,256,0,41.0,Windows 10,0,15655500
HP,Intel Celeron Dual-Core,Intel,0,4, DDR4 RAM,1.1,LED,15.6,Integrated Graphics,Intel,64,1024,46.0,Windows 10,0,6621300
Lenovo,Intel Core i3 (11th Gen),Intel,12,8, DDR4 RAM ,1.7,LCD,14.0,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,11970000
HP,AMD Hexa-Core Ryzen 5,AMD,32,8, DDR4 RAM ,3.3,LED,16.1,Radeon RX 5500M,AMD,512,0,150.0,Windows 11,4,16199700
Dell,Intel Core i3 (11th Gen) Processor,Intel,0,8, DDR4 RAM,2.5,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,11397000
Acer,Intel Core i5 (12th Gen),Intel,0,16, DDR4 RAM,3.3,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,65.0,Windows 11,4,14997000
HP,AMD Quad-Core Ryzen 3,AMD,0,8, DDR4 RAM,3.4,LED,14.0,Integrated Graphics,AMD,512,0,65.0,Windows 10,0,13199700
Lenovo,Intel Core i3 (11th Gen),Intel,12,8, DDR4 RAM ,3.0,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,11834400
Acer,Intel Core i5 (12th Gen),Intel,0,8, DDR4 RAM,3.3,LCD,15.6,GeForce RTX 2050,NVIDIA,512,0,65.0,Windows 11,4,14697000
HP,Intel Core i5 (11th Gen),Intel,16,8, DDR4 RAM ,4.2,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,17940000
Lenovo,Intel Core i3 (11th Gen),Intel,0,8, DDR4 RAM,3.0,LED,15.6,Integrated Graphics,Intel,512,0,45.0,Windows 10,0,10530000
HP,AMD Hexa-Core Ryzen 5,AMD,0,8, DDR4 RAM,3.0,LED,15.6,GeForce GTX 1650,NVIDIA,512,0,65.0,Windows 10,4,16819200
Dell,Intel Core i3 (12th Gen),Intel,16,8, DDR4 RAM ,0.8,LCD,15.6,Integrated Graphics,Intel,512,0,65.0,Windows 11,0,11097000
